ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (oz),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: businessx_product_hide_sidebar
35,simple,,fafda,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0,
36,simple,,veg cutlets,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0,
37,simple,,daal baati,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,1,
38,simple,,Veg Momos,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,2,
39,simple,,pav Bhaji,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,3,
40,simple,,chana dal vada,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,4,
41,simple,,aloo Bhajji,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,5.99,Specials,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,5,
42,simple,,Lassi,1,0,visible,"yogurt blended with milk and water, sugar and served with cream, dry fruit and cherry topping , also available in mango flavor and slated option with cumin and mint flavor.",,,,taxable,,1,,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,0,
43,simple,,Falooda,1,0,visible,"A royal dessert made from mixing rose syrup, vermicelli, sweet basil (sabza/takmaria) seeds, and pieces of jelly with special thickened milk , topped off with a scoop of ice cream.Various flavors like pista, kesar badam are also available",,,,taxable,,1,,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,0,
44,simple,,milk shakes,1,0,visible,"Milk blend with fruits such as mango, banana , chiknoo saved with whipped cream and dry fruit garnish",,,,taxable,,1,,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,0,
45,simple,,Bottle  soda,1,0,visible,special Indian soda to help with digestion.,,,,taxable,,1,,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,0,
46,simple,0,fresh juice,1,0,visible,fresh fruit and vegetables juice to keep you healthy,,,,taxable,,0,0,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,0,
47,simple,1,Lahori doodh soda,1,0,visible,,,,,taxable,,0,0,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,1,
48,simple,2,malpua,1,0,visible,,,,,taxable,,0,0,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,2,
49,simple,3,Shahi Rabri,1,0,visible,,,,,taxable,,0,0,0,0,,,,,1,,,5.99,Drinks,,,https://www.delhichaat.ca/wp-content/uploads/2018/09/1-56cbfe032efaf.jpg,,,,,,,,,3,
